,도장,해체,설치,양중,굴착,정리,매설,기타
66,0,0,0,0,0,0,0,24
67,0,0,0,1,0,0,0,29
68,0,0,0,0,0,0,0,27
69,0,0,1,0,0,0,0,12
70,0,0,0,0,0,0,0,29
71,1,0,0,0,0,1,0,31
72,0,0,0,0,0,0,0,16
73,0,0,0,0,0,0,0,12
74,0,0,0,0,0,0,0,10
75,0,0,1,0,0,0,0,29
76,0,0,0,0,0,0,0,36
77,0,1,0,0,0,0,0,43
78,0,0,0,0,0,0,0,17
79,0,0,0,0,0,0,0,20
80,0,0,0,0,0,0,0,21
81,0,0,0,0,0,0,0,23
82,0,0,0,0,0,0,0,25
83,0,0,0,0,0,0,0,52
84,0,1,0,0,0,0,0,25
85,0,0,0,0,0,0,0,19
86,0,0,0,0,0,0,0,21
87,0,0,0,0,0,0,0,28
88,0,0,0,0,0,0,0,37
89,0,0,0,0,0,0,0,13
90,0,0,0,0,0,0,0,8
91,0,0,0,0,0,0,0,22
92,0,0,1,0,0,0,0,29
93,0,0,0,0,0,0,0,11
94,0,0,0,0,0,0,0,13
95,0,0,1,0,0,0,0,25
96,0,0,1,0,0,0,0,13
97,0,0,0,0,0,0,0,19
98,0,1,1,0,0,0,0,35
99,0,0,0,0,0,0,0,23
100,0,0,1,0,0,0,0,26
101,0,0,0,0,0,0,0,15
102,0,0,1,0,0,0,0,19
103,0,0,0,0,0,0,0,58
104,0,0,2,0,0,0,0,28
105,0,0,1,0,0,0,0,16
106,0,0,1,0,0,0,0,16
107,0,1,0,0,0,0,0,10
108,0,0,2,0,0,0,0,32
109,0,0,2,0,0,0,0,46
110,0,0,1,0,0,0,0,24
111,0,0,0,0,0,0,0,23
112,0,1,0,0,0,0,0,13
113,0,1,0,0,0,0,0,18
114,0,0,0,0,0,0,0,29
115,0,0,0,0,0,0,0,17
116,0,0,0,0,0,0,0,9
117,0,1,0,0,0,0,0,24
118,0,0,0,0,0,0,0,12
119,0,0,0,0,0,0,0,36
120,0,0,0,0,0,0,0,19
121,3,0,0,0,0,0,0,38
122,0,0,0,0,0,0,0,23
123,0,0,0,0,0,0,0,29
124,0,0,1,0,0,0,0,35
125,0,0,0,0,0,0,0,45
126,0,0,0,0,0,0,0,26
127,0,0,0,0,0,0,0,12
128,0,0,1,0,0,0,0,42
129,1,0,1,0,0,0,0,20
130,0,0,1,0,0,0,0,53
131,0,0,0,0,0,0,0,19
132,0,0,1,0,0,0,0,18
133,0,0,0,0,0,0,0,53
134,0,0,0,0,0,0,0,19
135,0,0,1,0,0,0,0,33
136,0,0,0,0,0,0,0,22
137,0,0,0,0,0,0,0,27
138,0,0,0,0,0,0,0,26
139,1,0,0,0,0,0,0,18
140,0,2,0,0,0,0,0,14
141,0,0,0,0,0,0,0,15
142,0,1,0,0,0,0,0,17
143,0,0,0,0,0,0,0,14
144,0,2,0,0,0,0,0,27
145,0,0,0,0,0,0,0,14
146,0,0,0,0,0,0,0,15
147,0,0,0,0,0,0,0,21
148,0,0,0,0,0,0,0,29
149,1,0,0,0,0,0,0,31
150,0,0,0,0,0,0,0,23
151,0,0,0,0,0,0,0,25
152,0,0,0,0,0,0,0,25
153,0,0,0,0,0,0,0,21
154,0,0,0,0,0,0,0,26
155,0,1,0,0,0,0,0,45
156,0,2,0,0,0,0,0,68
157,0,0,0,0,0,0,0,26
158,0,2,0,0,0,0,0,21
159,0,0,0,0,0,0,0,60
160,0,0,0,0,0,0,0,55
161,0,0,1,0,0,0,0,25
162,0,0,0,0,0,0,0,15
163,0,0,0,0,0,0,0,13
164,0,0,0,0,0,0,0,14
165,0,2,0,0,0,0,0,22
166,0,0,0,0,0,0,0,28
167,0,0,2,0,0,0,0,20
168,0,0,2,0,0,0,0,30
169,0,0,0,0,0,0,0,31
170,0,0,0,0,0,0,0,64
171,0,0,1,0,0,0,0,39
172,0,1,0,0,0,0,0,31
173,0,0,0,0,0,0,0,16
174,0,0,1,0,0,0,0,23
175,0,0,0,0,0,0,0,50
176,0,0,0,0,0,0,0,25
177,1,0,0,0,0,0,0,24
178,0,0,0,0,0,0,0,24
179,0,0,0,0,0,0,0,25
180,0,0,0,0,0,0,0,26
181,0,0,1,0,0,0,0,21
182,0,0,1,0,0,0,0,34
